,n,r_squared,r_squared_simple,delta_r_squared,adj_r_squared,beta_median,beta_mad,standardized_beta_median,standardized_beta_mad,intercept,residuals
delta_v4_left,1482,0.002982683590442514,0.0029816759907043133,1.0075997382008595e-06,0.0016344519252503575,0.052075450162863385,0.004871129536459266,2.4878019041694768,0.06095087362143674,103.45376635970067,"[-38.44319332  27.15461648  43.9580097  ... -21.20912449 -21.8130721
   0.28548789]"
delta_v4_right,1482,0.020926498136655036,0.011276172002704588,0.009650326133950449,0.019602531264628853,0.03882616066621355,0.5387091954599781,1.7617615431235005,6.18518637165408,84.95238893928428,"[-16.9927407   40.56410756   9.17470405 ...  72.48243208 -42.54194241
  -1.04046222]"
delta_v5_left,1482,0.015727813390167267,0.013912110392072297,0.0018157029980949702,0.014396816518483901,0.10211802495007308,0.2665751702454313,4.8784871974469874,3.335569171509303,114.131330512086,"[-49.50844262  71.04554338  -1.07129715 ... -33.58920958  10.91691486
 -42.3955599 ]"
delta_v5_right,1482,0.005942848370953158,4.375421071500796e-05,0.00589909416023815,0.0045986196331180285,-0.06142586553554533,0.46752997654406675,-2.7872374140709293,5.3679425998863435,144.43136296790883,"[-68.26514266 102.32511746 -10.2153921  ... -30.20648505 -59.98439538
  26.7485765 ]"
