,n,r_squared,adj_r_squared,beta,intercept,se_regression,se_beta,p_value,residuals,residual_variance,original_variance,residual_ratio
delta_v4_left,1482,0.0029816759907043133,0.002308014960968219,0.0529013189109784,103.3405940871624,46.24490087820301,0.025145309649246064,0.035562111347264835,"[-38.44987106  27.19345772  43.96308937 ... -21.16660139 -21.89101932
   0.27793476]",2135.7047697081894,2142.0917933783903,0.9970183240092958
delta_v4_right,1482,0.011276172002704588,0.010608115362165882,0.11909217098770397,75.39920676092567,50.63558002874617,0.028987383019036514,4.202036014833155e-05,"[-17.67037833  38.13682878  11.92227576 ...  79.17461473 -32.61363901
  -0.79040609]",2560.5018272431753,2589.7037724170023,0.9887238279972954
delta_v5_left,1482,0.013912110392072297,0.013245834790985844,0.1473141340827322,107.93791734309907,59.29003810734048,0.032238502818964364,5.2950223252690165e-06,"[-49.8738855   73.17115126  -0.79330952 ... -31.26211058   6.65121151
 -42.80890899]",3510.5646125367293,3560.0930196318936,0.9860878896079279
delta_v5_right,1482,4.375421071500796e-05,-0.0006318919013048596,0.008234660475802858,136.14043517716348,56.52521092259532,0.03235902379936991,0.7991616311473768,"[-68.85324456 100.2185531   -7.83085486 ... -24.39853519 -51.36791084
  26.96559291]",3190.7875947158946,3190.9272112174704,0.999956245789285
